"4M Research, Inc. - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
Project Manager II	Off	107.04	109.19	111.37						
Project Manager III	Off	117.48	119.82	122.22						
Project Manager III	On	99.85	101.85	103.89						
Project Manager IV	On	104.07	106.15	108.27						
Project Manager IV	Off	122.43	124.88	127.37						
Project Manager IX	Off	201.13	205.15	209.26						
Project Manager IX	On	170.95	174.37	177.87						
Project Manager V	On	109.27	111.46	113.68						
Project Manager V	Off	128.55	131.12	133.75						
Project Manager VI	Off	134.19	136.88	139.61						
Project Manager VI	On	114.06	116.34	118.67						
Project Manager VII	On	118.19	120.55	122.96						
Project Manager VII	Off	139.06	141.84	144.68						
Project Manager VIII	On	127.13	129.67	132.27						
Project Manager VIII	Off	149.55	152.54	155.59						
Senior Engineer/Analyst I	On	77.68	79.23	80.81						
Senior Engineer/Analyst I	Off	91.38	93.22	95.08						
Senior Engineer/Analyst II	Off	98.99	100.97	102.99						
Senior Engineer/Analyst II	On	84.14	85.83	87.55						
Senior Engineer/Analyst III	Off	103.05	105.12	107.22						
Senior Engineer/Analyst III	On	87.61	89.36	91.15						
Senior Engineer/Analyst IV	Off	107.57	109.72	111.91						
Senior Engineer/Analyst IV	On	91.43	93.26	95.12						
Senior Engineer/Analyst IX	Off	149.55	152.54	155.59						
Senior Engineer/Analyst IX	On	127.13	129.67	132.27						
Senior Engineer/Analyst V	Off	113.98	116.25	118.58						
Senior Engineer/Analyst V	On	96.88	98.81	100.79						
Senior Engineer/Analyst VI	On	100.35	102.36	104.4						
Senior Engineer/Analyst VI	Off	118.07	120.43	122.84						
Senior Engineer/Analyst VII	On	104.82	106.92	109.06						
Senior Engineer/Analyst VII	Off	123.32	125.79	128.31						
Senior Engineer/Analyst VIII	Off	139.06	141.84	144.68						
Senior Engineer/Analyst VIII	On	118.19	120.55	122.96						
Senior Engineer/Analyst X	On	136.03	138.75	141.53						
Senior Engineer/Analyst X	Off	160.05	163.25	166.52						
Senior Engineer/Analyst XI	Off	176.92	180.45	184.07						
Senior Engineer/Analyst XI	On	150.4	153.41	156.48						
Senior Scientist SME I	Off	188.17	191.95	195.79						
Senior Scientist SME I	On	159.96	163.16	166.42						
Senior Scientist SME II	On	190.07	193.89	197.77						
Senior Scientist SME II	Off	223.62	228.09	232.65						
Senior Scientist SME III	On	218.84	223.2	227.68						
Senior Scientist SME III	Off	257.45	262.61	267.86						
Technical Specialist I	On	28.03	28.59	29.15						
Technical Specialist I	Off	32.97	33.63	34.31						
Technical Specialist II	Off	40.76	41.57	42.41						
Technical Specialist II	On	34.64	35.34	36.04						
Technical Specialist III	Off	49.95	50.95	51.96						
Technical Specialist III	On	42.47	43.32	44.19						
Technical Specialist IV	On	59.85	61.04	62.26						
Technical Specialist IV	Off	70.38	71.79	73.23						
Technician I	Off	34.1	34.78	35.48						
Technician I	On	28.99	29.57	30.16						
Technician II	Off	44.61	45.5	46.41						
Technician II	On	37.9	38.66	39.43						
Technician III	On	44.75	45.65	46.56						
Technician III	Off	52.66	53.71	54.78						
Technician IV	Off	54.63	55.72	56.84						
Technician IV	On	46.44	47.37	48.31						
Technician V	On	54.58	55.68	56.79						
Technician V	Off	64.22	65.5	66.8						
Technician VI	Off	65.59	66.91	68.25						
Technician VI	On	55.75	56.86	58						
Technician VII	Off	76.08	77.6	79.15						
Technician VII	On	64.68	65.97	67.29						
										
Agile Software Test LLC - PSS MOB										
Labor Category	Site	11/10/2015 - 11/9/2016	11/10/2016 - 11/9/2017	11/10/2017 - 11/9/2018	11/10/2018 - 11/9/2019	11/10/2019 - 11/9/2020				
Administrator I	On	39.52	40.43	41.36	42.31	43.28				
Administrator I	Off	40.74	41.68	42.64	43.62	44.62				
Administrator II	On	46.5	47.57	48.66	49.78	50.92				
Administrator II	Off	47.94	49.04	50.17	51.32	52.5				
Associate Management Consultant I	On	54.73	55.99	57.28	58.6	59.95				
Associate Management Consultant I	Off	57.61	58.92	60.25	61.62	63.02				
Associate Management Consultant II	On	91.85	93.96	96.12	98.33	100.59				
Associate Management Consultant II	Off	92.8	94.91	97.06	99.26	101.52				
Business Process Consultant	On	130.61	133.61	136.68	139.82	143.04				
Business Process Consultant	Off	137.48	140.6	143.79	147.06	150.4				
Executive Management Consultant I	On	201.56	206.2	210.94	215.79	220.75				
Executive Management Consultant I	Off	217.23	222.23	227.34	232.57	237.92				
Executive Management Consultant II	On	221.64	226.74	231.96	237.3	242.76				
Executive Management Consultant II	Off	229.61	234.82	240.15	245.6	251.18				
Management Consultant I	On	66.61	68.14	69.71	71.31	72.95				
Management Consultant I	Off	68.67	70.25	71.87	73.52	75.21				
Management Consultant II	On	80.69	82.55	84.45	86.39	88.38				
Management Consultant II	Off	83.19	85.1	87.06	89.06	91.11				
Management Consultant III	On	92.67	94.8	96.98	99.21	101.49				
Management Consultant III	Off	95.54	97.74	99.99	102.29	104.64				
Management Consultant IV	On	109.82	112.31	114.68	117.32	120.02				
Management Consultant IV	Off	109.82	112.31	114.86	117.47	120.13				
Policy Analyst I	On	80.95	82.81	84.71	86.66	88.65				
Policy Analyst I	Off	85.21	87.15	89.12	91.15	93.22				
Policy Analyst II	On	106.07	108.51	111.01	113.56	116.17				
Policy Analyst II	Off	111.65	114.18	116.77	119.43	122.14				
Policy Analyst III	On	145.79	149.14	152.57	156.08	159.67				
Policy Analyst III	Off	153.46	156.94	160.5	164.15	167.87				
Principal Management Consultant I	On	152.32	155.82	159.4	163.07	166.82				
Principal Management Consultant I	Off	164.16	167.94	171.8	175.75	179.79				
Principal Management Consultant II	On	181.16	185.33	189.59	193.95	198.41				
Principal Management Consultant II	Off	195.25	199.74	204.33	209.03	213.84				
Program Manager	On	158.21	161.85	165.57	169.38	173.28				
Program Manager	Off	166.54	170.32	174.18	178.14	182.18				
Project Analyst I	On	65.71	67.22	68.77	70.35	71.97				
Project Analyst I	Off	69.17	70.74	72.34	73.98	75.66				
Project Analyst II	On	119.23	121.97	124.78	127.65	130.59				
Project Analyst II	Off	125.51	128.35	131.27	134.25	137.3				
Project Manager I	On	108.3	110.79	113.34	115.95	118.62				
Project Manager I	Off	114	116.59	119.23	121.94	124.71				
Project Manager II	On	119.23	121.97	124.78	127.65	130.59				
Project Manager II	Off	125.51	128.35	131.27	134.25	137.3				
Sr. Executive Management Consultant	On	259.68	265.58	271.61	277.77	284.08				
Sr. Executive Management Consultant	Off	259.68	265.58	271.61	277.77	284.08				
Sr. Management Consultant	On	131.42	134.44	137.53	140.69	143.93				
Sr. Management Consultant	Off	135.48	138.6	141.79	145.05	148.39				
Training Manager	On	95.13	97.32	99.56	101.85	104.19				
Training Manager	Off	100.14	102.42	104.74	107.12	109.55				
Training Specialist I	On	75.79	77.53	79.31	81.13	83				
Training Specialist I	Off	79.78	81.59	83.44	85.34	87.28				
Training Specialist II	On	83.13	85.04	87	89	91.05				
Training Specialist II	Off	87.5	89.49	91.52	93.6	95.72				
										
Agile Software Test LLC - PSS PES										
Labor Category	Site	11/10/2015 - 11/9/2016	11/10/2016 - 11/9/2017	11/10/2017 - 11/9/2018	11/10/2018 - 11/9/2019	11/10/2019 - 11/9/2020				
Administrative Support I	On	19.26	19.64	20.03	20.43	20.84				
Administrative Support I	Off	22.66	23.12	23.58	24.05	24.53				
Administrative Support II	On	21.62	22.05	22.49	22.94	23.4				
Administrative Support II	Off	25.46	25.96	26.48	27.01	27.55				
Administrative Support III	On	25.32	25.83	26.35	26.88	27.42				
Administrative Support III	Off	29.8	30.39	31	31.62	32.25				
Administrative Support IV	On	27.83	28.39	28.96	29.54	30.13				
Administrative Support IV	Off	32.75	33.4	34.07	34.75	35.45				
Administrative Support IX	On	56.86	58	59.16	60.34	61.55				
Administrative Support IX	Off	66.91	68.25	69.62	71.01	72.43				
Administrative Support V	On	32.29	32.94	33.6	34.27	34.96				
Administrative Support V	Off	37.99	38.75	39.53	40.32	41.13				
Administrative Support VI	On	35.5	36.21	36.93	37.67	38.42				
Administrative Support VI	Off	41.77	42.6	43.45	44.32	45.21				
Administrative Support VII	On	39.2	39.98	40.78	41.6	42.43				
Administrative Support VII	Off	46.1	47.02	47.96	48.92	49.9				
Administrative Support VIII	On	47.37	48.31	49.28	50.27	51.28				
Administrative Support VIII	Off	55.72	56.84	57.98	59.14	60.32				
Business Specialist I	On	75.07	76.57	78.1	79.66	81.25				
Business Specialist I	Off	88.31	90.08	91.88	93.72	95.59				
Business Specialist II	On	84.16	85.85	87.57	89.32	91.11				
Business Specialist II	Off	99.01	100.99	103.01	105.07	107.17				
Business Specialist III	On	93.26	95.12	97.02	98.96	100.94				
Business Specialist III	Off	109.72	111.91	114.15	116.43	118.76				
Business Specialist IV	On	106.92	109.06	111.24	113.46	115.73				
Business Specialist IV	Off	125.79	128.31	130.88	133.5	136.17				
Business Specialist V	On	111.46	113.68	115.95	118.27	120.64				
Business Specialist V	Off	131.12	133.75	136.43	139.16	141.94				
Business Specialist VI	On	120.55	122.96	125.42	127.93	130.49				
Business Specialist VI	Off	141.84	144.68	147.57	150.52	153.53				
Business Specialist VII	On	129.67	132.27	134.92	137.62	140.37				
Business Specialist VII	Off	152.54	155.59	158.7	161.87	165.11				
Engineer/Analyst I	On	61.04	62.26	63.51	64.78	66.08				
Engineer/Analyst I	Off	71.79	73.23	74.69	76.18	77.7				
Engineer/Analyst II	On	63	64.27	65.56	66.87	68.21				
Engineer/Analyst II	Off	74.11	75.59	77.1	78.64	80.21				
Engineer/Analyst III	On	65.43	66.74	68.07	69.43	70.82				
Engineer/Analyst III	Off	76.99	78.53	80.1	81.7	83.33				
Engineer/Analyst IV	On	71.76	73.19	74.65	76.14	77.66				
Engineer/Analyst IV	Off	84.43	86.12	87.84	89.6	91.39				
Engineer/Analyst V	On	82.14	83.78	85.46	87.17	88.91				
Engineer/Analyst V	Off	96.65	98.58	100.55	102.56	104.61				
Jr. Engineer/Analyst I	On	31.49	32.12	32.76	33.42	34.09				
Jr. Engineer/Analyst I	Off	37.05	37.79	38.55	39.32	40.11				
Jr. Engineer/Analyst II	On	44.55	45.44	46.35	47.28	48.23				
Jr. Engineer/Analyst II	Off	52.39	53.44	54.51	55.6	56.71				
Jr. Engineer/Analyst III	On	50.59	51.61	52.64	53.69	54.76				
Jr. Engineer/Analyst III	Off	59.53	60.72	61.93	63.17	64.43				
Jr. Engineer/Analyst IV	On	60.18	61.39	62.62	63.87	65.15				
Jr. Engineer/Analyst IV	Off	70.79	72.21	73.65	75.12	76.62				
Manager I	On	101.84	103.88	105.96	108.08	110.24				
Manager I	Off	119.81	122.21	124.65	127.14	129.68				
Manager II	On	116.21	118.53	120.9	123.32	125.79				
Manager II	Off	136.72	139.46	142.25	145.1	148				
Manager III	On	131.85	134.49	137.18	139.92	142.72				
Manager III	Off	155.11	158.21	161.37	164.6	167.89				
Manager IV	On	149.06	152.05	155.09	158.19	161.35				
Manager IV	Off	175.36	178.87	182.45	186.1	189.82				
Manager V	On	156.96	160.1	163.3	166.57	169.9				
Manager V	Off	184.66	188.35	192.12	195.96	199.88				
Manager VI	On	175.16	178.67	182.24	185.88	189.6				
Manager VI	Off	206.07	210.19	214.39	218.68	223.05				
Manager VII	On	184.26	187.95	191.71	195.54	199.45				
Manager VII	Off	216.78	221.11	225.53	230.04	234.64				
Project Manager I	On	86.9	88.64	90.41	92.22	94.06				
Project Manager I	Off	102.25	104.3	106.39	108.52	110.69				
Project Manager II	On	92.81	94.67	96.56	98.49	100.46				
Project Manager II	Off	109.19	111.37	113.6	115.87	118.19				
Project Manager III	On	101.85	103.89	105.97	108.09	110.25				
Project Manager III	Off	119.82	122.22	124.66	127.15	129.69				
Project Manager IV	On	106.15	108.27	110.44	112.65	114.9				
Project Manager IV	Off	124.88	127.37	129.92	132.52	135.17				
Project Manager IX	On	174.37	177.87	181.43	185.06	188.76				
Project Manager IX	Off	205.15	209.26	213.45	217.72	222.07				
Project Manager V	On	111.46	113.68	115.95	118.27	120.64				
Project Manager V	Off	131.12	133.75	136.43	139.16	141.94				
Project Manager VI	On	116.34	118.67	121.04	123.46	125.93				
Project Manager VI	Off	136.88	139.61	142.4	145.25	148.16				
Project Manager VII	On	120.55	122.96	125.42	127.93	130.49				
Project Manager VII	Off	141.84	144.68	147.57	150.52	153.53				
Project Manager VIII	On	129.67	132.27	134.92	137.62	140.37				
Project Manager VIII	Off	152.54	155.59	158.7	161.87	165.11				
Senior Engineer/Analyst I	On	79.23	80.81	82.43	84.08	85.76				
Senior Engineer/Analyst I	Off	93.22	95.08	96.98	98.92	100.9				
Senior Engineer/Analyst II	On	85.83	87.55	89.3	91.09	92.91				
Senior Engineer/Analyst II	Off	100.97	102.99	105.05	107.15	109.29				
Senior Engineer/Analyst III	On	89.36	91.15	92.97	94.83	96.73				
Senior Engineer/Analyst III	Off	105.12	107.22	109.36	111.55	113.78				
Senior Engineer/Analyst IV	On	93.26	95.12	97.02	98.96	100.94				
Senior Engineer/Analyst IV	Off	109.72	111.91	114.15	116.43	118.76				
Senior Engineer/Analyst IX	On	129.67	132.27	134.92	137.62	140.37				
Senior Engineer/Analyst IX	Off	152.54	155.59	158.7	161.87	165.11				
Senior Engineer/Analyst V	On	98.81	100.79	102.81	104.87	106.97				
Senior Engineer/Analyst V	Off	116.25	118.58	120.95	123.37	125.84				
Senior Engineer/Analyst VI	On	102.36	104.4	106.49	108.62	110.79				
Senior Engineer/Analyst VI	Off	120.43	122.84	125.3	127.81	130.37				
Senior Engineer/Analyst VII	On	106.92	109.06	111.24	113.46	115.73				
Senior Engineer/Analyst VII	Off	125.79	128.31	130.88	133.5	136.17				
Senior Engineer/Analyst VIII	On	120.55	122.96	125.42	127.93	130.49				
Senior Engineer/Analyst VIII	Off	141.84	144.68	147.57	150.52	153.53				
Senior Engineer/Analyst X	On	138.75	141.53	144.36	147.25	150.2				
Senior Engineer/Analyst X	Off	163.25	166.52	169.85	173.25	176.72				
Senior Engineer/Analyst XI	On	153.41	156.48	159.61	162.8	166.06				
Senior Engineer/Analyst XI	Off	180.45	184.07	187.75	191.51	195.34				
Senior Scientist/SME I	On	163.16	166.42	169.75	172.77	175.36				
Senior Scientist/SME I	Off	184.66	187.44	190.25	193.1	195.99				
Senior Scientist/SME II	On	193.89	197.77	201.73	205.76	209.88				
Senior Scientist/SME II	Off	227.68	231.1	234.56	238.08	241.65				
Senior Scientist/SME III	On	223.2	227.68	232.23	236.87	241.61				
Senior Scientist/SME III	Off	255.09	258.92	262.8	266.74	270.75				
Technical Specialist I	On	28.59	29.15	29.73	30.32	30.93				
Technical Specialist I	Off	33.63	34.31	35	35.7	36.41				
Technical Specialist II	On	35.34	36.04	36.76	37.5	38.25				
Technical Specialist II	Off	41.57	42.41	43.26	44.13	45.01				
Technical Specialist III	On	43.32	44.19	45.07	45.97	46.89				
Technical Specialist III	Off	50.95	51.96	53	54.06	55.14				
Technical Specialist IV	On	61.04	62.26	63.51	64.78	66.08				
Technical Specialist IV	Off	71.79	73.23	74.69	76.18	77.7				
Technician I	On	29.57	30.16	30.76	31.38	32.01				
Technician I	Off	34.78	35.48	36.19	36.91	37.65				
Technician II	On	38.66	39.43	40.22	41.02	41.84				
Technician II	Off	45.5	46.41	47.34	48.29	49.26				
Technician III	On	45.65	46.56	47.49	48.44	49.41				
Technician III	Off	53.71	54.78	55.88	57	58.14				
Technician IV	On	47.37	48.31	49.28	50.27	51.28				
Technician IV	Off	55.72	56.84	57.98	59.14	60.32				
Technician V	On	55.68	56.79	57.93	59.09	60.27				
Technician V	Off	65.5	66.8	68.14	69.5	70.89				
Technician VI	On	56.86	58	59.16	60.34	61.55				
Technician VI	Off	66.91	68.25	69.62	71.01	72.43				
Technician VII	On	65.97	67.29	68.64	70.01	71.41				
Technician VII	Off	77.6	79.15	80.73	82.34	83.99				
										
"AI Signal Research, Inc. (dba ASRI) - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
Administrative Support I	Off	21.78	22.21	22.66	23.12					
Administrative Support I	On	18.51	18.88	19.26	19.64					
Administrative Support II	On	20.79	21.2	21.62	22.05					
Administrative Support II	Off	24.47	24.96	25.46	25.96					
Administrative Support III	Off	28.64	29.21	29.8	30.39					
Administrative Support III	On	24.33	24.82	25.32	25.83					
Administrative Support IV	On	26.75	27.29	27.83	28.39					
Administrative Support IV	Off	31.48	32.1	32.75	33.4					
Administrative Support IX	On	54.65	55.75	56.86	58					
Administrative Support IX	Off	64.3	65.59	66.91	68.25					
Administrative Support V	On	31.04	31.66	32.29	32.94					
Administrative Support V	Off	36.52	37.25	37.99	38.75					
Administrative Support VI	Off	40.15	40.95	41.77	42.6					
Administrative Support VI	On	34.12	34.8	35.5	36.21					
Administrative Support VII	Off	44.32	45.2	46.1	47.02					
Administrative Support VII	On	37.68	38.43	39.2	39.98					
Administrative Support VIII	On	45.53	46.44	47.37	48.31					
Administrative Support VIII	Off	53.55	54.63	55.72	56.84					
Business Specialist I	On	72.15	73.6	75.07	76.57					
Business Specialist I	Off	84.89	86.58	88.31	90.08					
Business Specialist II	On	80.89	82.51	84.16	85.85					
Business Specialist II	Off	95.17	97.07	99.01	100.99					
Business Specialist III	On	89.64	91.43	93.26	95.12					
Business Specialist III	Off	105.46	107.57	109.72	111.91					
Business Specialist IV	Off	120.91	123.32	125.79	128.31					
Business Specialist IV	On	102.76	104.82	106.92	109.06					
Business Specialist V	On	107.13	109.27	111.46	113.68					
Business Specialist V	Off	126.03	128.55	131.12	133.75					
Business Specialist VI	Off	136.34	139.06	141.84	144.68					
Business Specialist VI	On	115.88	118.19	120.55	122.96					
Business Specialist VII	Off	146.61	149.55	152.54	155.59					
Business Specialist VII	On	124.63	127.13	129.67	132.27					
Engineer/Analyst I	Off	69.01	70.38	71.79	73.23					
Engineer/Analyst I	On	58.68	59.85	61.04	62.26					
Engineer/Analyst II	Off	71.23	72.65	74.11	75.59					
Engineer/Analyst II	On	60.55	61.77	63	64.27					
Engineer/Analyst III	On	62.89	64.15	65.43	66.74					
Engineer/Analyst III	Off	73.99	75.47	76.99	78.53					
Engineer/Analyst IV	Off	81.15	82.78	84.43	86.12					
Engineer/Analyst IV	On	68.97	70.35	71.76	73.19					
Engineer/Analyst V	On	78.95	80.53	82.14	83.78					
Engineer/Analyst V	Off	92.9	94.75	96.65	98.58					
Junior Engineer/Analyst I	On	30.27	30.87	31.49	32.12					
Junior Engineer/Analyst I	Off	35.61	36.33	37.05	37.79					
Junior Engineer/Analyst II	On	42.81	43.67	44.55	45.44					
Junior Engineer/Analyst II	Off	50.36	51.37	52.39	53.44					
Junior Engineer/Analyst III	Off	57.22	58.36	59.53	60.72					
Junior Engineer/Analyst III	On	48.63	49.6	50.59	51.61					
Junior Engineer/Analyst IV	On	57.84	59	60.18	61.39					
Junior Engineer/Analyst IV	Off	68.04	69.4	70.79	72.21					
Manager I	Off	115.15	117.46	119.81	122.21					
Manager I	On	97.89	99.85	101.84	103.88					
Manager II	On	111.7	113.93	116.21	118.53					
Manager II	Off	131.41	134.04	136.72	139.46					
Manager III	Off	149.08	152.07	155.11	158.21					
Manager III	On	126.72	129.26	131.85	134.49					
Manager IV	Off	168.55	171.92	175.36	178.87					
Manager IV	On	143.28	146.14	149.06	152.05					
Manager V	On	150.86	153.88	156.96	160.1					
Manager V	Off	177.49	181.04	184.66	188.35					
Manager VI	Off	198.07	202.03	206.07	210.19					
Manager VI	On	168.36	171.73	175.16	178.67					
Manager VII	On	177.11	180.65	184.26	187.95					
Manager VII	Off	208.36	212.53	216.78	221.11					
Project Manager I	Off	98.28	100.25	102.25	104.3					
Project Manager I	On	83.53	85.2	86.9	88.64					
Project Manager II	Off	104.95	107.04	109.19	111.37					
Project Manager II	On	89.21	90.99	92.81	94.67					
Project Manager III	On	97.89	99.85	101.85	103.89					
Project Manager III	Off	115.17	117.48	119.82	122.22					
Project Manager IV	Off	120.03	122.43	124.88	127.37					
Project Manager IV	On	102.03	104.07	106.15	108.27					
Project Manager IX	Off	197.18	201.13	205.15	209.26					
Project Manager IX	On	167.6	170.95	174.37	177.87					
Project Manager V	Off	126.03	128.55	131.12	133.75					
Project Manager V	On	107.13	109.27	111.46	113.68					
Project Manager VI	On	111.83	114.06	116.34	118.67					
Project Manager VI	Off	131.56	134.19	136.88	139.61					
Project Manager VII	Off	136.34	139.06	141.84	144.68					
Project Manager VII	On	115.88	118.19	120.55	122.96					
Project Manager VIII	Off	146.61	149.55	152.54	155.59					
Project Manager VIII	On	124.63	127.13	129.67	132.27					
Senior Engineer/Analyst I	Off	89.59	91.38	93.22	95.08					
Senior Engineer/Analyst I	On	76.15	77.68	79.23	80.81					
Senior Engineer/Analyst II	Off	97.05	98.99	100.97	102.99					
Senior Engineer/Analyst II	On	82.49	84.14	85.83	87.55					
Senior Engineer/Analyst III	Off	101.03	103.05	105.12	107.22					
Senior Engineer/Analyst III	On	85.89	87.61	89.36	91.15					
Senior Engineer/Analyst IV	On	89.64	91.43	93.26	95.12					
Senior Engineer/Analyst IV	Off	105.46	107.57	109.72	111.91					
Senior Engineer/Analyst IX	On	124.63	127.13	129.67	132.27					
Senior Engineer/Analyst IX	Off	146.61	149.55	152.54	155.59					
Senior Engineer/Analyst V	Off	111.74	113.98	116.25	118.58					
Senior Engineer/Analyst V	On	94.98	96.88	98.81	100.79					
Senior Engineer/Analyst VI	On	98.38	100.35	102.36	104.4					
Senior Engineer/Analyst VI	Off	115.76	118.07	120.43	122.84					
Senior Engineer/Analyst VII	On	102.76	104.82	106.92	109.06					
Senior Engineer/Analyst VII	Off	120.91	123.32	125.79	128.31					
Senior Engineer/Analyst VIII	Off	136.34	139.06	141.84	144.68					
Senior Engineer/Analyst VIII	On	115.88	118.19	120.55	122.96					
Senior Engineer/Analyst X	On	133.37	136.03	138.75	141.53					
Senior Engineer/Analyst X	Off	156.92	160.05	163.25	166.52					
Senior Engineer/Analyst XI	Off	173.45	176.92	180.45	184.07					
Senior Engineer/Analyst XI	On	147.45	150.4	153.41	156.48					
Senior Scientist SME I	Off	184.49	188.17	191.95	195.79					
Senior Scientist SME I	On	156.82	159.96	163.16	166.42					
Senior Scientist SME II	Off	219.23	223.62	228.09	232.65					
Senior Scientist SME II	On	186.36	190.07	193.89	197.77					
Senior Scientist SME III	On	214.54	218.84	223.2	227.68					
Senior Scientist SME III	Off	252.41	257.45	262.61	267.86					
Technical Specialist I	Off	32.33	32.97	33.63	34.31					
Technical Specialist I	On	27.48	28.03	28.59	29.15					
Technical Specialist II	Off	39.96	40.76	41.57	42.41					
Technical Specialist II	On	33.96	34.64	35.34	36.04					
Technical Specialist III	Off	48.97	49.95	50.95	51.96					
Technical Specialist III	On	41.63	42.47	43.32	44.19					
Technical Specialist IV	Off	69.01	70.38	71.79	73.23					
Technical Specialist IV	On	58.68	59.85	61.04	62.26					
Technician I	Off	33.43	34.1	34.78	35.48					
Technician I	On	28.42	28.99	29.57	30.16					
Technician II	Off	43.73	44.61	45.5	46.41					
Technician II	On	37.16	37.9	38.66	39.43					
Technician III	On	43.88	44.75	45.65	46.56					
Technician III	Off	51.63	52.66	53.71	54.78					
Technician IV	On	45.53	46.44	47.37	48.31					
Technician IV	Off	53.55	54.63	55.72	56.84					
Technician V	On	53.52	54.58	55.68	56.79					
Technician V	Off	62.96	64.22	65.5	66.8					
Technician VI	On	54.65	55.75	56.86	58					
Technician VI	Off	64.3	65.59	66.91	68.25					
Technician VII	Off	74.59	76.08	77.6	79.15					
Technician VII	On	63.42	64.68	65.97	67.29					
										
"AI Signal Research, Inc. (dba ASRI) - PSS MOB"										
Labor Category	Site	11/10/2015 - 11/9/2016	11/10/2016 - 11/9/2017	11/10/2017 - 11/9/2018	11/10/2018 - 11/9/2019	11/10/2019 - 11/9/2020				
Administrator I	On	39.52	40.43	41.36	42.31	43.28				
Administrator I	Off	40.74	41.68	42.64	43.62	44.62				
Administrator II	On	46.5	47.57	48.66	49.78	50.92				
Administrator II	Off	47.94	49.04	50.17	51.32	52.5				
Associate Management Consultant I	On	54.73	55.99	57.28	58.6	59.95				
Associate Management Consultant I	Off	57.61	58.92	60.25	61.62	63.02				
Associate Management Consultant II	On	91.85	93.96	96.12	98.33	100.59				
Associate Management Consultant II	Off	92.8	94.91	97.06	99.26	101.52				
Business Process Consultant	On	130.61	133.61	136.68	139.82	143.04				
Business Process Consultant	Off	137.48	140.6	143.79	147.06	150.4				
Executive Management Consultant I	On	201.56	206.2	210.94	215.79	220.75				
Executive Management Consultant I	Off	217.23	222.23	227.34	232.57	237.92				
Executive Management Consultant II	On	221.64	226.74	231.96	237.3	242.76				
Executive Management Consultant II	Off	229.61	234.82	240.15	245.6	251.18				
Management Consultant I	On	66.61	68.14	69.71	71.31	72.95				
Management Consultant I	Off	68.67	70.25	71.87	73.52	75.21				
Management Consultant II	On	80.69	82.55	84.45	86.39	88.38				
Management Consultant II	Off	83.19	85.1	87.06	89.06	91.11				
Management Consultant III	On	92.67	94.8	96.98	99.21	101.49				
Management Consultant III	Off	95.54	97.74	99.99	102.29	104.64				
Management Consultant IV	On	109.82	112.31	114.68	117.32	120.02				
Management Consultant IV	Off	109.82	112.31	114.86	117.47	120.13				
Policy Analyst I	On	80.95	82.81	84.71	86.66	88.65				
Policy Analyst I	Off	85.21	87.15	89.12	91.15	93.22				
Policy Analyst II	On	106.07	108.51	111.01	113.56	116.17				
Policy Analyst II	Off	111.65	114.18	116.77	119.43	122.14				
Policy Analyst III	On	145.79	149.14	152.57	156.08	159.67				
Policy Analyst III	Off	153.46	156.94	160.5	164.15	167.87				
Principal Management Consultant I	On	152.32	155.82	159.4	163.07	166.82				
Principal Management Consultant I	Off	164.16	167.94	171.8	175.75	179.79				
Principal Management Consultant II	On	181.16	185.33	189.59	193.95	198.41				
Principal Management Consultant II	Off	195.25	199.74	204.33	209.03	213.84				
Program Manager	On	158.21	161.85	165.57	169.38	173.28				
Program Manager	Off	166.54	170.32	174.18	178.14	182.18				
Project Analyst I	On	65.71	67.22	68.77	70.35	71.97				
Project Analyst I	Off	69.17	70.74	72.34	73.98	75.66				
Project Analyst II	On	119.23	121.97	124.78	127.65	130.59				
Project Analyst II	Off	125.51	128.35	131.27	134.25	137.3				
Project Manager I	On	108.3	110.79	113.34	115.95	118.62				
Project Manager I	Off	114	116.59	119.23	121.94	124.71				
Project Manager II	On	119.23	121.97	124.78	127.65	130.59				
Project Manager II	Off	125.51	128.35	131.27	134.25	137.3				
Sr. Executive Management Consultant	On	259.68	265.58	271.61	277.77	284.08				
Sr. Executive Management Consultant	Off	259.68	265.58	271.61	277.77	284.08				
Sr. Management Consultant	On	131.42	134.44	137.53	140.69	143.93				
Sr. Management Consultant	Off	135.48	138.6	141.79	145.05	148.39				
Training Manager	On	95.13	97.32	99.56	101.85	104.19				
Training Manager	Off	100.14	102.42	104.74	107.12	109.55				
Training Specialist I	On	75.79	77.53	79.31	81.13	83				
Training Specialist I	Off	79.78	81.59	83.44	85.34	87.28				
Training Specialist II	On	83.13	85.04	87	89	91.05				
Training Specialist II	Off	87.5	89.49	91.52	93.6	95.72				
										
"AI Signal Research, Inc. (dba ASRI) - PSS PES"										
Labor Category	Site	11/10/2015 - 11/9/2016	11/10/2016 - 11/9/2017	11/10/2017 - 11/9/2018	11/10/2018 - 11/9/2019	11/10/2019 - 11/9/2020				
Administrative Support I	On	19.26	19.64	20.03	20.43	20.84				
Administrative Support I	Off	22.66	23.12	23.58	24.05	24.53				
Administrative Support II	On	21.62	22.05	22.49	22.94	23.4				
Administrative Support II	Off	25.46	25.96	26.48	27.01	27.55				
Administrative Support III	On	25.32	25.83	26.35	26.88	27.42				
